model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
bp,top,manual_weak_top_label,0.3,all_signals,6,5,111,15,0.13513513513513514,0.3333333333333333,0.0990990990990991,0.4,0.6,-0.019078564666666666,0.025252970666666666,-0.04756378733333333,0.00734634927927928,0.23423423423423423,-0.026424913945945944
bp,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,13,0.11711711711711711,0.38461538461538464,0.0990990990990991,0.38461538461538464,0.6153846153846154,-0.022086389230769228,0.023376380769230768,-0.05030404076923077,0.00734634927927928,0.28551628551628555,-0.029432738510048507
bp,top,manual_weak_top_label,0.4,all_signals,6,5,111,8,0.07207207207207207,0.25,0.0990990990990991,0.625,0.375,-0.0023805050000000006,0.03204024375,-0.040139933749999995,0.00734634927927928,0.15090090090090091,-0.00972685427927928
bp,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,7,0.06306306306306306,0.2857142857142857,0.0990990990990991,0.5714285714285714,0.42857142857142855,-0.005068352857142856,0.03155345714285714,-0.04058060857142857,0.00734634927927928,0.1866151866151866,-0.012414702136422135
bp,top,manual_weak_top_label,0.5,all_signals,6,5,111,5,0.04504504504504504,0.2,0.0990990990990991,0.6,0.4,-0.005657197999999998,0.026590758000000003,-0.036997206,0.00734634927927928,0.10090090090090091,-0.013003547279279278
bp,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,5,0.04504504504504504,0.2,0.0990990990990991,0.6,0.4,-0.005657197999999998,0.026590758000000003,-0.036997206,0.00734634927927928,0.10090090090090091,-0.013003547279279278
bp,top,manual_weak_top_label,0.6,all_signals,6,5,111,2,0.018018018018018018,0.5,0.0990990990990991,0.5,0.5,-0.020265175000000003,0.02172343,-0.057534459999999996,0.00734634927927928,0.4009009009009009,-0.027611524279279282
bp,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,2,0.018018018018018018,0.5,0.0990990990990991,0.5,0.5,-0.020265175000000003,0.02172343,-0.057534459999999996,0.00734634927927928,0.4009009009009009,-0.027611524279279282
bp,top,manual_weak_top_label,0.7,all_signals,6,5,111,2,0.018018018018018018,0.5,0.0990990990990991,0.5,0.5,-0.020265175000000003,0.02172343,-0.057534459999999996,0.00734634927927928,0.4009009009009009,-0.027611524279279282
bp,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,2,0.018018018018018018,0.5,0.0990990990990991,0.5,0.5,-0.020265175000000003,0.02172343,-0.057534459999999996,0.00734634927927928,0.4009009009009009,-0.027611524279279282
lda,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,16,0.2,0.25,0.2625,0.5,0.5,0.022541323125,0.05078029375,-0.04315838,0.012450520499999998,-0.012500000000000011,0.010090802625
lda,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,9,0.1125,0.2222222222222222,0.2625,0.4444444444444444,0.5555555555555556,0.021899295555555556,0.056784709999999995,-0.05772070222222222,0.012450520499999998,-0.0402777777777778,0.009448775055555558
lda,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,14,0.175,0.2857142857142857,0.2625,0.5,0.5,0.026374465714285717,0.05394053428571428,-0.04613991214285714,0.012450520499999998,0.023214285714285687,0.01392394521428572
